epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.827,0.90372,5.10067,1.19341,0.32573,0.09419,0.10272,0.06805,0.95891,5.62827,1.19606,0.00331723,0.00331723,0.0701449
2,561.022,1.02555,4.55901,1.29963,0.32256,0.09727,0.09006,0.05023,1.2787,5.82507,1.49378,0.00664892,0.00664892,0.0401433
3,831.545,1.18234,4.60077,1.39827,0.26182,0.11155,0.05995,0.03066,1.43027,6.42352,1.68329,0.00997406,0.00997406,0.0101351
4,1101.84,1.31899,4.67577,1.5161,0.25644,0.11803,0.05934,0.02905,1.50863,6.22508,1.73935,0.00997783,0.00997783,0.00997783
5,1366.2,1.35246,4.64057,1.54582,0.19528,0.12997,0.06944,0.03373,1.46656,5.79246,1.69622,0.00996061,0.00996061,0.00996061
6,1627.52,1.37516,4.49585,1.55545,0.22793,0.12003,0.07354,0.03487,1.48302,5.42678,1.77798,0.0099385,0.0099385,0.0099385
7,1888.08,1.33771,4.25409,1.51384,0.16665,0.15175,0.09224,0.04823,1.42612,5.24009,1.67458,0.00991152,0.00991152,0.00991152
8,2149.41,1.32118,4.07011,1.49199,0.23313,0.17877,0.1056,0.05611,1.40262,4.82806,1.64742,0.0098797,0.0098797,0.0098797
9,2411.68,1.32939,3.94452,1.49492,0.25151,0.18242,0.11661,0.05973,1.4048,4.52514,1.6145,0.00984307,0.00984307,0.00984307
10,2673.7,1.33719,3.78679,1.48426,0.18619,0.22233,0.11663,0.06089,1.38977,4.31244,1.59109,0.00980167,0.00980167,0.00980167
11,2935.36,1.32023,3.58861,1.48334,0.22124,0.23683,0.15596,0.08392,1.32901,3.90999,1.54581,0.00975553,0.00975553,0.00975553
12,3197.38,1.30754,3.51995,1.47981,0.25593,0.23697,0.16147,0.0867,1.35912,3.77144,1.57716,0.0097047,0.0097047,0.0097047
13,3459.37,1.31314,3.32078,1.47642,0.25768,0.25315,0.17643,0.09343,1.38287,3.60013,1.57554,0.00964923,0.00964923,0.00964923
14,3723.56,1.29846,3.22852,1.46938,0.26366,0.26495,0.18708,0.10588,1.33148,3.3428,1.53978,0.00958918,0.00958918,0.00958918
15,3985.09,1.28044,3.03546,1.45103,0.28962,0.27928,0.21344,0.1184,1.32427,3.17897,1.53678,0.00952461,0.00952461,0.00952461
16,4248.04,1.28061,2.94542,1.44386,0.30151,0.2965,0.21373,0.12069,1.33035,3.06443,1.54376,0.00945558,0.00945558,0.00945558
17,4509.41,1.28634,2.88125,1.45378,0.32891,0.28722,0.23441,0.13202,1.33542,3.00552,1.54599,0.00938215,0.00938215,0.00938215
18,4773.93,1.28771,2.73401,1.44453,0.32519,0.31418,0.24521,0.13944,1.31396,2.79756,1.53745,0.00930441,0.00930441,0.00930441
19,5035.77,1.28341,2.73536,1.44337,0.3505,0.29383,0.25632,0.1476,1.31272,2.76904,1.52512,0.00922242,0.00922242,0.00922242
20,5297.06,1.27215,2.6117,1.43614,0.34624,0.3219,0.27134,0.15863,1.31151,2.65487,1.51708,0.00913627,0.00913627,0.00913627
21,5558.47,1.28383,2.55888,1.43047,0.34653,0.34144,0.27961,0.1608,1.32485,2.56578,1.5436,0.00904604,0.00904604,0.00904604
22,5819.97,1.27501,2.47257,1.42621,0.36384,0.36398,0.30218,0.17679,1.31473,2.48377,1.51478,0.00895182,0.00895182,0.00895182
23,6081.51,1.2691,2.43663,1.41889,0.37494,0.3618,0.31019,0.18617,1.30544,2.40438,1.49319,0.00885371,0.00885371,0.00885371
24,6342.87,1.25711,2.41096,1.39804,0.3887,0.34669,0.30776,0.1831,1.31087,2.43962,1.5193,0.0087518,0.0087518,0.0087518
25,6604.72,1.25636,2.3568,1.41328,0.41093,0.36065,0.32177,0.19213,1.29523,2.33566,1.5017,0.0086462,0.0086462,0.0086462
26,6866.48,1.24832,2.32233,1.42095,0.42176,0.39191,0.35478,0.21247,1.29376,2.21585,1.49152,0.008537,0.008537,0.008537
27,7127.8,1.23325,2.2517,1.40522,0.40621,0.40311,0.33802,0.19923,1.32071,2.24462,1.50655,0.00842431,0.00842431,0.00842431
28,7388.37,1.22548,2.18222,1.40104,0.43156,0.39935,0.35321,0.20956,1.29848,2.16456,1.49755,0.00830825,0.00830825,0.00830825
29,7650.42,1.22081,2.16372,1.40083,0.44797,0.41339,0.37635,0.22864,1.27533,2.12563,1.48013,0.00818893,0.00818893,0.00818893
30,7912.32,1.23221,2.15251,1.40016,0.42595,0.41584,0.37621,0.22649,1.30256,2.15063,1.49582,0.00806647,0.00806647,0.00806647
31,8172.91,1.21284,2.11945,1.38827,0.44958,0.40698,0.38565,0.23227,1.30662,2.12924,1.50795,0.00794099,0.00794099,0.00794099
32,8434.02,1.22172,2.07855,1.38475,0.45869,0.43784,0.4037,0.24621,1.27284,2.06346,1.47447,0.00781261,0.00781261,0.00781261
33,8695.93,1.18686,2.00958,1.37575,0.45087,0.40407,0.37353,0.22495,1.3166,2.09943,1.50906,0.00768145,0.00768145,0.00768145
34,8957.5,1.20091,1.98985,1.37287,0.47324,0.43523,0.41196,0.24739,1.29092,2.00199,1.49764,0.00754766,0.00754766,0.00754766
35,9218.72,1.18069,1.97685,1.36655,0.47017,0.42927,0.40256,0.24261,1.30324,2.05046,1.5018,0.00741136,0.00741136,0.00741136
36,9479.89,1.18674,1.93351,1.36005,0.4776,0.44389,0.41798,0.25677,1.27761,1.95206,1.47539,0.00727268,0.00727268,0.00727268
37,9741.63,1.18158,1.90849,1.36317,0.49652,0.43455,0.42025,0.25203,1.27431,1.9417,1.47892,0.00713177,0.00713177,0.00713177
38,10003.3,1.18448,1.90833,1.35858,0.48823,0.45317,0.43924,0.26994,1.28147,1.90323,1.49192,0.00698875,0.00698875,0.00698875
39,10265.1,1.14898,1.8223,1.33598,0.51127,0.44721,0.44585,0.27371,1.28246,1.88775,1.4924,0.00684378,0.00684378,0.00684378
40,10526.4,1.14244,1.79136,1.33065,0.53357,0.46376,0.45939,0.28356,1.27495,1.83928,1.47595,0.006697,0.006697,0.006697
41,10787.3,1.14423,1.79394,1.3324,0.51208,0.47931,0.46719,0.29135,1.26309,1.81992,1.45687,0.00654854,0.00654854,0.00654854
42,11048.1,1.15899,1.78266,1.33612,0.50797,0.47086,0.45541,0.28383,1.27496,1.84197,1.48248,0.00639856,0.00639856,0.00639856
43,11309.5,1.13353,1.7437,1.32152,0.5319,0.49033,0.48778,0.30303,1.26561,1.77159,1.4669,0.00624721,0.00624721,0.00624721
44,11569.8,1.11845,1.70567,1.31952,0.54475,0.48418,0.48584,0.3051,1.26528,1.79084,1.46241,0.00609463,0.00609463,0.00609463
45,11830.4,1.12706,1.6915,1.32142,0.54804,0.48927,0.50043,0.31211,1.27461,1.74735,1.47186,0.00594097,0.00594097,0.00594097
46,12092,1.12288,1.66029,1.32089,0.5643,0.50199,0.50734,0.31857,1.2604,1.75009,1.45393,0.00578639,0.00578639,0.00578639
47,12352.9,1.11015,1.64513,1.30597,0.56036,0.48019,0.49738,0.31157,1.27181,1.74382,1.4705,0.00563104,0.00563104,0.00563104
48,12613.2,1.10386,1.6349,1.3012,0.54876,0.48832,0.49501,0.31107,1.25812,1.7526,1.46274,0.00547507,0.00547507,0.00547507
49,12874.5,1.10727,1.56901,1.29699,0.58217,0.48506,0.51336,0.32489,1.26413,1.68012,1.45463,0.00531864,0.00531864,0.00531864
50,13135.9,1.08859,1.52507,1.30091,0.57455,0.48841,0.50923,0.32554,1.26237,1.68418,1.45965,0.0051619,0.0051619,0.0051619
51,13397.1,1.07695,1.53156,1.28652,0.57206,0.49597,0.5065,0.31866,1.27048,1.68644,1.46752,0.005005,0.005005,0.005005
52,13657.6,1.07389,1.49992,1.28142,0.58439,0.50376,0.5241,0.33378,1.25129,1.67865,1.45226,0.0048481,0.0048481,0.0048481
53,13918.6,1.06612,1.49883,1.28239,0.60084,0.48643,0.51592,0.32553,1.25167,1.69511,1.45382,0.00469136,0.00469136,0.00469136
54,14178.7,1.06233,1.49678,1.27668,0.59426,0.51467,0.53238,0.34115,1.24529,1.63146,1.45209,0.00453493,0.00453493,0.00453493
55,14440.2,1.04714,1.42045,1.25456,0.59425,0.51156,0.52661,0.33534,1.25157,1.63717,1.44785,0.00437896,0.00437896,0.00437896
56,14701.2,1.02687,1.37841,1.25255,0.59327,0.51564,0.53787,0.34586,1.25075,1.64814,1.45835,0.00422361,0.00422361,0.00422361
57,14961.1,1.03264,1.39686,1.25192,0.60262,0.5292,0.54849,0.34835,1.25269,1.60696,1.44407,0.00406903,0.00406903,0.00406903
58,15222,1.03557,1.3548,1.26057,0.6371,0.51356,0.55254,0.35456,1.24977,1.60281,1.44878,0.00391537,0.00391537,0.00391537
59,15483.6,1.03647,1.37152,1.2561,0.60132,0.52583,0.54712,0.35117,1.23631,1.60143,1.43711,0.00376279,0.00376279,0.00376279
60,15744.3,1.01766,1.33844,1.24155,0.60179,0.53282,0.55543,0.36018,1.23677,1.59575,1.44306,0.00361144,0.00361144,0.00361144
61,16005.1,1.02079,1.34946,1.24133,0.61058,0.53,0.55911,0.36154,1.23786,1.59036,1.44143,0.00346146,0.00346146,0.00346146
62,16265.5,0.99655,1.30341,1.23437,0.63903,0.52278,0.55809,0.36082,1.23107,1.58161,1.4393,0.003313,0.003313,0.003313
63,16526.4,1.011,1.29263,1.24069,0.6279,0.52434,0.56004,0.35866,1.2441,1.58116,1.44418,0.00316622,0.00316622,0.00316622
64,16786.7,0.99473,1.26693,1.23349,0.61029,0.54167,0.56501,0.36225,1.23658,1.57897,1.43632,0.00302125,0.00302125,0.00302125
65,17046.7,0.9816,1.28259,1.23073,0.62792,0.54828,0.57301,0.36855,1.22767,1.55797,1.44386,0.00287823,0.00287823,0.00287823
66,17307.4,0.97559,1.25529,1.22422,0.64385,0.52799,0.56586,0.3655,1.22968,1.55707,1.43797,0.00273732,0.00273732,0.00273732
67,17568.2,0.9737,1.22971,1.21508,0.64447,0.54169,0.57943,0.37643,1.23118,1.5448,1.42486,0.00259864,0.00259864,0.00259864
68,17829.2,0.97462,1.19262,1.21738,0.6339,0.54781,0.58267,0.37552,1.22854,1.52721,1.43267,0.00246234,0.00246234,0.00246234
69,18089.2,0.95565,1.18547,1.21225,0.64562,0.53578,0.58265,0.38139,1.22872,1.55833,1.43098,0.00232855,0.00232855,0.00232855
70,18349.1,0.94446,1.1658,1.20185,0.62796,0.55455,0.57932,0.37684,1.22553,1.54641,1.43256,0.00219739,0.00219739,0.00219739
71,18609,0.94215,1.15423,1.18939,0.63906,0.55681,0.58685,0.38246,1.23214,1.53493,1.4362,0.00206901,0.00206901,0.00206901
72,18868.6,0.93353,1.14543,1.20022,0.64717,0.54319,0.58376,0.38127,1.22365,1.52629,1.43718,0.00194353,0.00194353,0.00194353
73,19129,0.94575,1.16746,1.19533,0.63803,0.55585,0.585,0.38393,1.22441,1.51461,1.4334,0.00182107,0.00182107,0.00182107
74,19390.1,0.9286,1.11209,1.19965,0.62207,0.56928,0.58754,0.3843,1.23522,1.50402,1.43844,0.00170175,0.00170175,0.00170175
75,19650.3,0.92974,1.14344,1.19864,0.66733,0.54716,0.5893,0.38505,1.22532,1.51668,1.43712,0.00158569,0.00158569,0.00158569
76,19910.8,0.92695,1.13625,1.18631,0.65496,0.55401,0.58932,0.38618,1.22403,1.51437,1.43467,0.001473,0.001473,0.001473
77,20170.8,0.92445,1.10922,1.18137,0.6484,0.55216,0.58799,0.38724,1.21863,1.52129,1.43224,0.0013638,0.0013638,0.0013638
78,20431.2,0.92002,1.1082,1.18439,0.64953,0.56196,0.593,0.39104,1.22075,1.5063,1.43063,0.0012582,0.0012582,0.0012582
79,20691.8,0.90893,1.07671,1.17728,0.66679,0.55232,0.59424,0.39194,1.22125,1.51167,1.43069,0.00115629,0.00115629,0.00115629
80,20950.6,0.89023,1.0887,1.16785,0.62833,0.58071,0.59645,0.39392,1.21455,1.49311,1.42677,0.00105818,0.00105818,0.00105818
81,21210.3,0.89682,1.08268,1.17527,0.64971,0.56917,0.59819,0.39453,1.21614,1.50072,1.42794,0.00096396,0.00096396,0.00096396
82,21470.7,0.89493,1.08655,1.17881,0.65556,0.57027,0.5999,0.3968,1.21529,1.49385,1.42672,0.000873733,0.000873733,0.000873733
83,21729.4,0.88317,1.04062,1.15937,0.66125,0.55555,0.59872,0.3957,1.20546,1.50485,1.42102,0.000787582,0.000787582,0.000787582
84,21988.7,0.89112,1.05527,1.17063,0.65648,0.57215,0.5998,0.39774,1.20996,1.48948,1.4229,0.000705594,0.000705594,0.000705594
85,22248.5,0.87933,1.04324,1.15519,0.65883,0.56413,0.60013,0.39796,1.20906,1.49146,1.42222,0.000627848,0.000627848,0.000627848
86,22508.2,0.87917,1.06181,1.1709,0.6587,0.57063,0.60401,0.39959,1.2119,1.48626,1.42292,0.000554422,0.000554422,0.000554422
87,22767.9,0.87068,1.05821,1.16165,0.67843,0.55457,0.60331,0.40083,1.21075,1.48387,1.4236,0.000485389,0.000485389,0.000485389
88,23027,0.87816,1.03771,1.16364,0.66529,0.57055,0.60566,0.40101,1.20827,1.48668,1.42135,0.000420816,0.000420816,0.000420816
89,23286.3,0.86535,1.02052,1.15962,0.66537,0.56468,0.60583,0.40233,1.20648,1.48394,1.42177,0.000360766,0.000360766,0.000360766
90,23546.2,0.88601,1.05224,1.17209,0.67195,0.56433,0.60481,0.40131,1.20468,1.48388,1.4205,0.000305301,0.000305301,0.000305301
91,23801.6,0.79309,0.79318,1.11187,0.65113,0.5402,0.5753,0.37497,1.24156,1.5483,1.45169,0.000254473,0.000254473,0.000254473
92,24054.8,0.77018,0.7437,1.09899,0.64019,0.54807,0.57896,0.3794,1.2366,1.5503,1.4499,0.000208333,0.000208333,0.000208333
93,24306.6,0.76956,0.73251,1.10522,0.64504,0.55193,0.58377,0.38254,1.23177,1.52884,1.4477,0.000166927,0.000166927,0.000166927
94,24558.8,0.765,0.72069,1.09479,0.6393,0.55606,0.584,0.38358,1.23333,1.53492,1.44861,0.000130296,0.000130296,0.000130296
95,24811.4,0.77891,0.71955,1.1019,0.64858,0.55654,0.5855,0.38503,1.23207,1.52931,1.44714,9.84752e-05,9.84752e-05,9.84752e-05
96,25063.5,0.76731,0.69701,1.08987,0.64857,0.55322,0.58383,0.38387,1.23086,1.53491,1.44773,7.14967e-05,7.14967e-05,7.14967e-05
97,25314.8,0.75239,0.70825,1.0846,0.64975,0.55352,0.58489,0.38601,1.22962,1.52926,1.44583,4.93871e-05,4.93871e-05,4.93871e-05
98,25566.4,0.75249,0.69514,1.08921,0.65705,0.54947,0.58698,0.38776,1.22577,1.53078,1.44347,3.2168e-05,3.2168e-05,3.2168e-05
99,25817.8,0.76861,0.71284,1.1047,0.64974,0.55666,0.58731,0.38792,1.22543,1.52749,1.44356,1.98565e-05,1.98565e-05,1.98565e-05
100,26069.3,0.76551,0.72259,1.10655,0.65042,0.5543,0.586,0.38706,1.2245,1.53465,1.44427,1.24647e-05,1.24647e-05,1.24647e-05
