epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.779,0.99823,4.5475,1.125,0.01662,0.40056,0.05214,0.04013,0.84476,4.90641,0.98906,0.00165064,0.00165064,0.0686378
2,299.892,1.02873,3.93732,1.16533,0.49595,0.1046,0.13878,0.09227,1.05412,4.06398,1.13277,0.0033122,0.0033122,0.036966
3,439.256,1.13669,3.61985,1.22098,0.34942,0.20877,0.15738,0.10122,1.15801,4.18538,1.24284,0.00495332,0.00495332,0.00527384
4,572.145,1.19282,3.52183,1.26228,0.26856,0.12922,0.08203,0.04423,1.33454,4.76189,1.41477,0.00493099,0.00493099,0.00493099
5,706.445,1.25486,3.48871,1.29249,0.2672,0.24884,0.15665,0.0916,1.3275,4.21232,1.35634,0.00487776,0.00487776,0.00487776
6,845.394,1.2582,3.39785,1.30718,0.25777,0.1969,0.13649,0.08007,1.34717,4.18151,1.42436,0.00480989,0.00480989,0.00480989
7,982.056,1.28854,3.27779,1.30135,0.29155,0.22803,0.16004,0.09126,1.4143,4.27448,1.48867,0.00472779,0.00472779,0.00472779
8,1114.56,1.26836,3.20284,1.28126,0.26408,0.22266,0.16383,0.09698,1.36948,3.99352,1.37004,0.00463197,0.00463197,0.00463197
9,1253.08,1.25425,3.12374,1.28011,0.33279,0.29133,0.23373,0.14029,1.25921,3.75835,1.29202,0.00452302,0.00452302,0.00452302
10,1389.51,1.25837,3.06777,1.28003,0.32111,0.27439,0.21881,0.13129,1.3421,3.88374,1.36152,0.00440161,0.00440161,0.00440161
11,1529.84,1.24279,2.96413,1.27336,0.3393,0.30154,0.25891,0.15933,1.27401,3.55814,1.31585,0.0042685,0.0042685,0.0042685
12,1667.52,1.23328,2.949,1.27321,0.35919,0.30563,0.25783,0.16027,1.26868,3.53119,1.31863,0.0041245,0.0041245,0.0041245
13,1807.65,1.23535,2.82621,1.2585,0.39489,0.36483,0.3162,0.19883,1.25191,3.2885,1.28261,0.00397049,0.00397049,0.00397049
14,1945.53,1.22784,2.79288,1.26406,0.41446,0.3835,0.3391,0.21351,1.23933,3.23583,1.272,0.00380744,0.00380744,0.00380744
15,2081.08,1.20989,2.6462,1.24028,0.42669,0.38954,0.35266,0.22823,1.21682,3.13649,1.25577,0.00363634,0.00363634,0.00363634
16,2217.33,1.1947,2.61002,1.23999,0.44555,0.3959,0.36073,0.22601,1.25247,3.06435,1.28175,0.00345825,0.00345825,0.00345825
17,2357.5,1.21216,2.57011,1.23635,0.44669,0.37915,0.3683,0.24,1.23847,3.12605,1.26123,0.00327427,0.00327427,0.00327427
18,2495.43,1.19101,2.49677,1.23933,0.46847,0.41356,0.40206,0.25764,1.21612,2.90927,1.25393,0.00308553,0.00308553,0.00308553
19,2630.47,1.1888,2.41077,1.2198,0.48202,0.41684,0.41208,0.27344,1.23029,2.95912,1.24907,0.0028932,0.0028932,0.0028932
20,2768.74,1.16034,2.39497,1.21108,0.51218,0.44233,0.43935,0.29004,1.20107,2.76891,1.23963,0.00269845,0.00269845,0.00269845
21,2902.54,1.16747,2.31523,1.20372,0.51887,0.44811,0.45914,0.30193,1.2006,2.67305,1.23651,0.0025025,0.0025025,0.0025025
22,3036.27,1.14243,2.2377,1.19397,0.51418,0.46957,0.4604,0.3033,1.18568,2.65289,1.22145,0.00230655,0.00230655,0.00230655
23,3172.1,1.12856,2.18018,1.18585,0.54466,0.45755,0.47583,0.31758,1.17519,2.60386,1.22123,0.0021118,0.0021118,0.0021118
24,3309.02,1.13114,2.15492,1.181,0.56465,0.47078,0.48759,0.3307,1.17293,2.54376,1.2132,0.00191947,0.00191947,0.00191947
25,3442.82,1.10122,2.09233,1.16963,0.55773,0.48891,0.50345,0.33818,1.1629,2.48826,1.20522,0.00173073,0.00173073,0.00173073
26,3575.91,1.08825,2.0843,1.17286,0.58088,0.49858,0.51629,0.34527,1.16789,2.4427,1.20882,0.00154675,0.00154675,0.00154675
27,3707.39,1.07567,1.99493,1.1614,0.5995,0.49497,0.53022,0.36212,1.15404,2.36682,1.2065,0.00136866,0.00136866,0.00136866
28,3851.51,1.0537,1.93176,1.14771,0.6065,0.50135,0.53762,0.3656,1.14896,2.34026,1.19861,0.00119756,0.00119756,0.00119756
29,3985.53,1.04506,1.91227,1.15109,0.59407,0.52062,0.55005,0.37585,1.14381,2.29577,1.19587,0.00103451,0.00103451,0.00103451
30,4122.1,1.03788,1.89102,1.14221,0.60882,0.5307,0.55832,0.38327,1.13403,2.25763,1.18806,0.000880503,0.000880503,0.000880503
31,4263.57,0.96151,2.1289,1.09257,0.60681,0.50977,0.54397,0.36927,1.14215,2.29544,1.199,0.000736501,0.000736501,0.000736501
32,4403.6,0.93249,1.99889,1.07783,0.60827,0.52677,0.55696,0.38058,1.13367,2.25692,1.18798,0.000603386,0.000603386,0.000603386
33,4537.69,0.92511,1.90943,1.0668,0.61351,0.53279,0.56111,0.38443,1.13441,2.22305,1.18743,0.00048198,0.00048198,0.00048198
34,4671.05,0.89116,1.9048,1.05196,0.62005,0.52846,0.5646,0.38699,1.13309,2.2039,1.18852,0.000373031,0.000373031,0.000373031
35,4800.92,0.90044,1.84727,1.05374,0.62081,0.53033,0.5673,0.39074,1.12922,2.18377,1.18685,0.000277211,0.000277211,0.000277211
36,4937.15,0.87806,1.82346,1.05054,0.61178,0.53576,0.57255,0.3941,1.12348,2.17552,1.18371,0.000195111,0.000195111,0.000195111
37,5074.08,0.87271,1.79822,1.04531,0.60728,0.54235,0.57011,0.39429,1.1203,2.17536,1.18385,0.000127236,0.000127236,0.000127236
38,5203.96,0.87374,1.79083,1.0479,0.61625,0.53884,0.57149,0.39509,1.11958,2.16781,1.18089,7.40061e-05,7.40061e-05,7.40061e-05
39,5338.61,0.86937,1.78109,1.03693,0.61308,0.5401,0.57255,0.39496,1.11954,2.16332,1.18146,3.57484e-05,3.57484e-05,3.57484e-05
40,5475.1,0.86899,1.79874,1.044,0.61634,0.54216,0.57309,0.39616,1.1186,2.16311,1.18182,1.2699e-05,1.2699e-05,1.2699e-05
